Cód. Modular;Gestión;Nombre IE;Nivel;Distrito;Director(a);Últ. Acceso
0796920;Pública de gestión directa;40389 MIGUEL LINARES MALAGA;Secundaria;Lluta;Ccanccapa Pérez Nelson;2024-08-20 10:17:16
1365147;Pública de gestión directa;40408 SAN BASILIO MAGNO;Inicial - Jardín;Huanca;Alvarez  Gutierrez Victoria Angelica;2024-08-17 22:01:12
0312884;Pública de gestión directa;40408 SAN BASILIO MAGNO;Primaria;Huanca;Alvarez  Gutierrez Victoria Angelica;2024-08-17 22:01:12
0312918;Pública de gestión directa;40411 SAN JUAN DE DIOS DE MURCO;Primaria;Huanca;CACERES CCAPATINTA PATRICIA JESSICA;2024-08-05 12:31:22
0312926;Pública de gestión directa;40412 ARQUITECTO FERNANDO BELAUNDE TERRY;Primaria;Lluta;LOAYZA YUCRA ROSARIO LOURDES;2024-08-19 04:27:26
0656157;Pública de gestión directa;40591 SAN FRANCISCO DE CCASAO;Primaria;Lluta;LOPEZ CUPER LIZBETH IVON;2024-08-21 19:39:38
0678755;Pública de gestión directa;40606 SEUL;Primaria;Cayma;RODRIGUEZ PARI EDDY;2024-08-21 21:58:57
1272731;Pública de gestión directa;40616 CASIMIRO CUADROS I;Inicial - Jardín;Cayma;BERNEDO ESCOBEDO RENE MANUEL;2024-08-21 12:21:41
0723270;Pública de gestión directa;40616 CASIMIRO CUADROS I;Primaria;Cayma;BERNEDO ESCOBEDO RENE MANUEL;2024-08-21 12:21:41
0899062;Pública de gestión directa;40616 CASIMIRO CUADROS I;Secundaria;Cayma;BERNEDO ESCOBEDO RENE MANUEL;2024-08-21 12:21:41
1650514;Pública de gestión directa;40618 MONSEÑOR JOSE DE PIRO D AMICO INGUANEZ;Inicial - Jardín;Cayma;CAJCHAYA APAZA GUIDO RUBEN;2024-08-21 15:03:38
0723288;Pública de gestión directa;40618 MONSEÑOR JOSE DE PIRO DAMICO INGUANEZ;Primaria;Cayma;CAJCHAYA APAZA GUIDO RUBEN;2024-08-21 15:03:38
1650498;Pública de gestión directa;40654;Inicial - Jardín;Cayma;JAVIER CALCINA MARY LUZ;2024-08-21 15:00:03
0898486;Pública de gestión directa;40654;Primaria;Cayma;JAVIER CALCINA MARY LUZ;2024-08-21 15:00:03
0898544;Pública de gestión directa;40660 DOMINIC WILLIAMS;Primaria;Sachaca;PINAZO MONTESINOS GLADIS MARISOL;2024-08-20 02:23:07
0897850;Pública de gestión directa;40663;Primaria;Lluta;QUISPE FLORES JHONNY;2024-08-20 20:51:34
1272772;Pública de gestión directa;40669 DEAN VALDIVIA;Inicial - Jardín;Cayma;TURPO MACHACA ELIZABETH BERLIN;2024-08-20 13:15:10
1272897;Pública de gestión directa;40669 DEAN VALDIVIA;Secundaria;Cayma;TURPO MACHACA ELIZABETH BERLIN;2024-08-20 13:15:10
1031004;Pública de gestión directa;40669 DEAN VALDIVIA;Primaria;Cayma;TURPO MACHACA ELIZABETH BERLIN;2024-08-20 13:15:10
1116813;Pública de gestión directa;40671 VILLA SAN JUAN;Primaria;Cerro Colorado;QUISPE MAMANI GERMÁN BENIGNO;2024-08-21 22:32:39
1117134;Pública de gestión directa;40672 DOREEN CABRERA DE WILLIANS;Primaria;Sachaca;CASTRO LAUCATA CLAUDIA;2024-08-21 20:53:33
1118132;Pública de gestión directa;40677 SAN MIGUEL FEBRES CORDERO;Primaria;Cerro Colorado;PERCY LUIS AÑAZCO TITO;2024-08-21 17:40:16
1395367;Pública de gestión directa;40677 SAN MIGUEL FEBRES CORDERO;Secundaria;Cerro Colorado;PERCY LUIS AÑAZCO TITO;2024-08-21 17:40:16
1240233;Pública de gestión directa;40687 FELIX RIVAS GONZALEZ;Inicial - Jardín;Cayma;VIZA RODRÍGUEZ CLAUDIA YNES;2024-08-21 20:59:41
1240241;Pública de gestión directa;40687 FELIX RIVAS GONZALEZ;Primaria;Cayma;VIZA RODRÍGUEZ CLAUDIA YNES;2024-08-21 20:59:41
1253186;Pública de gestión directa;40688 JESUCRISTO EL SALVADOR;Primaria;Cerro Colorado;PANIBRA QUISPE HERMELINDA AGUSTINA;2024-08-19 12:49:47
1562818;Pública de gestión directa;40688 JESUCRISTO EL SALVADOR;Inicial - Jardín;Cerro Colorado;PANIBRA QUISPE HERMELINDA AGUSTINA;2024-08-19 12:49:47
1253228;Pública de gestión directa;40689 ALFREDO RODRIGUEZ BALLON;Primaria;Cerro Colorado;AQUINO CHOQUE MIGUEL ANGEL;2024-08-21 18:31:22
1562826;Pública de gestión directa;40689 ALFREDO RODRIGUEZ BALLON;Inicial - Jardín;Cerro Colorado;AQUINO CHOQUE MIGUEL ANGEL;2024-08-21 18:31:22
1278936;Pública de gestión directa;40705 PERUARBO;Inicial - Jardín;Cerro Colorado;MANRIQUE DIAZ ALFREDO MANUEL;2024-08-21 21:22:43
1647130;Pública de gestión directa;40705 PERUARBO;Secundaria;Cerro Colorado;MANRIQUE DIAZ ALFREDO MANUEL;2024-08-21 21:22:43
1278977;Pública de gestión directa;40705 PERUARBO;Primaria;Cerro Colorado;MANRIQUE DIAZ ALFREDO MANUEL;2024-08-21 21:22:43
0287482;Pública de gestión directa;41003 ALMIRANTE MIGUEL GRAU;Primaria;Arequipa;QUISPE TITO JACKELINE VIRGINIA;2024-08-07 23:49:11
1399294;Pública de gestión directa;41003 ALMIRANTE MIGUEL GRAU;Inicial - Jardín;Arequipa;QUISPE TITO JACKELINE VIRGINIA;2024-08-07 23:49:11
0287490;Pública de gestión directa;41005 HEROES DE ANGAMOS;Primaria;Arequipa;SOLIS LABAN FRANCISCO FELIPE;2024-08-20 12:52:42
0570044;Pública de gestión directa;41008 MANUEL MUÑOZ NAJAR;Secundaria;Arequipa;QUISOCALA TORRES ARTURO;2024-08-21 21:22:27
0287524;Pública de gestión directa;41008 MANUEL MUÑOZ NAJAR;Primaria;Arequipa;QUISOCALA TORRES ARTURO;2024-08-21 21:22:27
0287573;Pública de gestión directa;41014 FORTUNATA GUTIERREZ DE BERNED;Primaria;Arequipa;FARFAN CONCHA EBERT   MAXIMILIANO;2024-08-17 16:14:09
1574615;Pública de gestión directa;41014 FORTUNATA GUTIERREZ DE BERNEDO;Inicial - Jardín;Arequipa;FARFAN CONCHA EBERT   MAXIMILIANO;2024-08-17 16:14:09
0287623;Pública de gestión directa;41019 REPUBLICA DE VENEZUELA;Primaria;Arequipa;CARRAZCO CASTRO BERARDO JESUS;2024-08-21 16:45:06
0845198;Pública de gestión directa;41024 MANUEL GALLEGOS SANZ;Primaria;Cayma;NÚÑEZ TIÑA IGNACIO REYNALDO;2024-08-20 13:51:16
0287656;Pública de gestión directa;41025 200 MILLAS PERUANAS;Primaria;Cerro Colorado;SUÁREZ VILLEGAS YOVANKA ROSMARY;2024-08-21 18:03:17
0287664;Pública de gestión directa;41026 MARIA MURILLO DE BERNAL;Primaria;Cerro Colorado;Alarcon Barrionuevo Johnny Richard;2024-08-19 08:18:16
0899112;Pública de gestión directa;41026 MARIA MURILLO DE BERNAL;Secundaria;Cerro Colorado;Alarcon Barrionuevo Johnny Richard;2024-08-19 08:18:16
1674316;Pública de gestión directa;ALELUYA;Inicial - Jardín;Cerro Colorado;GALARZA NINA DANIELA ROSA ;2024-08-20 23:12:05
1717487;Pública de gestión directa;ALTIPLANO;Secundaria;Yura;Coricaza Cárdenas Rossemary;2024-08-20 08:13:00
0617357;Pública de gestión directa;ALTO DE AMADOS;Inicial - Jardín;Sachaca;ZEGARRA GUZMAN MONICA KATTIA;2024-08-19 20:14:51
0612820;Pública de gestión directa;ALTO VICTORIA;Inicial - Jardín;Cerro Colorado;GAONA HERNÁNDEZ GUISELA LOURDES;2024-08-21 16:01:40
1117092;Pública de gestión directa;ALVAREZ THOMAS;Inicial - Jardín;Uchumayo;SISA CONDORI YDALIA JENNY;2024-08-19 14:28:19
1741669;Pública de gestión directa;ANGEL DE JESUS;Inicial - Jardín;Cerro Colorado;ROBLES RAMOS GRACIELA DEL ROCIO;2024-08-20 15:49:41
1705607;Pública de gestión directa;APIPA SECTOR III;Inicial - Jardín;Cerro Colorado;CONDORI MOLLOSIHUE ELIANA VICTORIA;2024-08-21 13:58:33
1717461;Pública de gestión directa;APIPA SECTOR III;Secundaria;Cerro Colorado;Chalco Herrera Sandro James;2024-08-14 21:37:53
1764315;Pública de gestión directa;APIPA SECTOR III;Primaria;Cerro Colorado;Chalco Herrera Sandro James;2024-08-14 21:37:53
